Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
27,5,56,13,15.911937
28,5,93,8,14.790008
29,5,55,8,22.504671
30,5,40,19,11.495548
31,5,62,14,13.415909
1,6,46,5,29.176838
2,6,41,19,11.29197
3,6,52,12,18.001944
4,6,46,2,33.43191
5,6,50,11,19.685944
6,6,43,11,21.50561
7,6,70,17,7.9578815
8,6,55,11,18.670864
9,6,49,19,9.665399
10,6,58,12,16.78387
11,6,81,13,10.836493
12,6,65,3,26.864252
13,6,84,6,19.173119
14,6,54,14,15.040025
15,6,48,18,11.146358
16,6,61,11,17.45278
17,6,42,4,31.71363
18,6,90,12,10.287304
19,6,98,3,20.172287
20,6,69,17,8.160921
21,6,46,9,23.503439
22,6,66,18,7.492025
23,6,63,13,14.490837
24,6,43,10,22.923937
25,6,74,19,4.589954
26,6,53,15,13.965108
27,6,52,10,20.557854
28,6,45,4,30.874807
29,6,48,14,16.258144
30,6,86,8,16.211153
1,7,52,0,34.593704
2,7,52,15,14.168125
3,7,89,1,24.551712
4,7,98,12,8.663142
5,7,93,17,3.2885041
6,7,43,9,24.342285
7,7,99,14,5.904251
8,7,46,13,17.942434
9,7,55,13,16.114975
10,7,62,17,9.582055
11,7,59,12,16.580797
12,7,58,11,18.06178
13,7,63,0,31.527569
14,7,88,13,9.415393
15,7,89,1,24.551712
16,7,60,2,29.52734
17,7,60,19,7.432188
18,7,52,9,21.835821
19,7,41,8,26.319874
20,7,76,13,11.851596
21,7,91,8,15.19604
22,7,79,8,17.632313
23,7,81,2,24.893965
24,7,52,8,23.248133
25,7,75,14,10.776655
26,7,48,4,30.035938
27,7,47,1,34.570656
28,7,46,15,15.386337
29,7,74,18,5.8678856
30,7,88,15,6.859471
31,7,45,14,16.867916
1,8,55,11,18.670864
2,8,82,13,10.633489
3,8,40,6,29.43617
4,8,87,9,14.730171
5,8,64,15,11.73191
6,8,99,14,5.904251
7,8,88,5,19.638954
8,8,40,9,25.181084
9,8,85,6,18.970068
10,8,49,7,25.502567
11,8,73,18,6.070902
12,8,90,4,20.5109
13,8,92,13,8.603317
14,8,58,13,15.505904
15,8,83,16,6.5966063
16,8,49,6,26.920753
17,8,69,13,13.272741
18,8,52,9,21.835821
19,8,91,12,10.084253
20,8,87,13,9.618421
21,8,58,18,9.116163
22,8,98,6,16.33084
23,8,77,2,25.706017
24,8,80,3,23.819027
25,8,48,18,11.146358
26,8,53,11,19.076906
27,8,68,5,23.699305
28,8,64,7,21.955507
29,8,95,7,15.661954
30,8,92,2,22.665003
31,8,95,16,4.1604743
1,9,78,1,26.780954
2,9,45,18,11.755756
3,9,44,13,18.389267
4,9,69,2,27.330143
5,9,40,4,32.27329
6,9,47,0,35.989788
7,9,42,7,27.458569
8,9,81,2,24.893965
9,9,87,6,18.564037
10,9,70,14,11.791794
11,9,50,11,19.685944
12,9,97,13,7.5882497
13,9,56,18,9.522183
14,9,69,15,10.71682
15,9,94,15,5.641387
16,9,71,17,7.7549005
17,9,66,13,13.8817425
18,9,52,17,11.612215
19,9,95,5,18.21782
20,9,60,18,8.710109
21,9,93,1,23.743591
22,9,99,5,17.409008
23,9,49,0,35.429893
24,9,41,0,37.0
25,9,78,5,21.669147
26,9,64,16,10.454001
27,9,46,18,11.552366
28,9,41,9,24.90149
29,9,82,12,11.911455
30,9,64,5,24.511395
1,10,59,9,20.414686
2,10,48,2,32.87264
3,10,98,0,24.014097
4,10,59,7,22.970598
5,10,48,16,13.702233
6,10,65,17,8.972996
7,10,88,12,10.693324
8,10,70,16,9.23586
9,10,86,11,12.377312
10,10,56,1,32.060528
11,10,90,11,11.565248
12,10,90,10,12.843181
13,10,69,16,9.438888
14,10,85,6,18.970068
15,10,57,17,10.597146
16,10,50,15,14.574157
17,10,48,4,30.035938
18,10,68,18,7.0860047
19,10,59,15,12.747013
20,10,62,9,19.805605
21,10,53,18,10.131254
22,10,92,9,13.715127
23,10,78,1,26.780954
24,10,53,3,30.06037
25,10,71,15,10.3108
26,10,43,17,13.440936
27,10,53,8,22.969357
28,10,67,11,16.234625
29,10,40,13,19.507732
30,10,75,6,21.000238
31,10,94,16,4.3634434
1,11,82,11,13.189375
2,11,68,4,24.97726
3,11,96,18,1.4015129
4,11,44,0,36.715137
5,11,54,6,25.527044
6,11,93,16,4.5664477
7,11,46,12,19.248425
8,11,87,14,8.340465
9,11,51,3,30.617828
10,11,81,4,22.33802
11,11,50,9,22.387407
12,11,96,3,20.57634
13,11,46,2,33.43191
14,11,55,9,21.226738
15,11,88,17,4.303595
16,11,93,9,13.512076
17,11,65,12,15.362714
18,11,62,13,14.69383
19,11,75,14,10.776655
20,11,82,3,23.412971
21,11,96,12,9.069209
22,11,63,15,11.934915
23,11,86,7,17.489063
24,11,64,8,20.677526
25,11,63,10,18.324667
26,11,64,1,29.83063
27,11,63,16,10.656971
28,11,76,6,20.797224
29,11,97,16,3.7544193
30,11,60,16,11.266066
1,12,78,7,19.113258
2,12,68,2,27.53316
3,12,63,5,24.714432
4,12,55,14,14.837044
5,12,43,12,20.087234
6,12,80,19,3.3718472
7,12,55,18,9.725246
8,12,86,11,12.377312
9,12,64,11,16.843708
10,12,75,15,9.498724
11,12,71,12,14.144584
12,12,80,1,26.374903
13,12,79,19,3.5748394
14,12,82,4,22.135015
15,12,83,0,27.044489
16,12,97,18,1.1984853
17,12,84,18,3.8377154
18,12,80,11,13.5954075
19,12,41,8,26.319874
20,12,91,15,6.2504344
21,12,98,9,12.497008
22,12,47,2,33.152256
23,12,67,4,25.180265
24,12,55,2,30.92106
25,12,79,4,22.744097
26,12,94,5,18.420858
27,12,74,18,5.8678856
28,12,48,11,20.10846
29,12,83,14,9.15254
30,12,63,16,10.656971
31,12,90,14,7.7314057
