Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
15,10,81,16,4.387943
16,10,86,7,8.620743
17,10,63,3,21.760897
18,10,89,16,2.0708005
19,10,52,0,31.271414
20,10,56,11,17.1463
21,10,99,17,0.1048661
22,10,97,15,0.31345937
23,10,48,3,28.520164
24,10,78,1,18.022163
25,10,87,15,2.9428408
26,10,52,14,16.3487
27,10,78,2,16.898819
28,10,64,3,21.357622
29,10,57,9,18.34571
30,10,42,13,21.150005
31,10,89,7,7.4607067
1,11,81,16,4.387943
2,11,85,14,4.1188216
3,11,59,7,19.29146
4,11,52,1,29.59567
5,11,70,2,20.07588
6,11,95,4,7.8979063
7,11,41,11,23.149944
8,11,86,0,15.968529
9,11,94,1,11.667067
10,11,82,10,7.6169076
11,11,82,18,3.769485
12,11,62,4,21.12324
13,11,54,13,16.347235
14,11,85,7,9.007421
15,11,60,14,13.146745
16,11,80,7,10.940976
17,11,53,10,19.14689
18,11,90,4,9.88426
19,11,65,13,11.945623
20,11,79,13,6.6046934
21,11,73,2,18.884441
22,11,71,4,17.497913
23,11,57,4,23.137335
24,11,54,0,30.202576
25,11,46,13,19.54919
26,11,60,11,15.545566
27,11,46,19,14.75179
28,11,88,19,2.815358
29,11,59,0,27.530647
30,11,55,4,23.943153
1,12,67,8,15.1430235
2,12,83,9,8.080466
3,12,40,1,36.301163
4,12,83,18,3.5683763
5,12,88,16,2.3029866
6,12,55,16,13.548961
7,12,88,15,2.6158764
8,12,59,9,17.544855
9,12,65,0,24.361721
10,12,81,19,4.2210846
11,12,91,10,4.433827
12,12,91,6,7.537343
13,12,59,13,14.346399
14,12,96,7,4.753713
15,12,42,0,37.0
16,12,76,18,5.0176272
17,12,96,14,0.65636903
18,12,52,12,17.947481
19,12,61,0,26.462053
20,12,98,7,3.980356
21,12,77,15,6.2185845
22,12,68,0,23.118216
23,12,73,14,8.049552
24,12,62,1,24.377098
25,12,86,13,4.311795
26,12,94,14,1.20714
27,12,93,11,3.234497
28,12,86,11,5.433024
29,12,58,2,24.842447
30,12,44,14,19.550003
31,12,56,19,11.0143585
