Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
1,6,68,8,19.407452
2,6,95,6,10.491446
3,6,92,9,16.049816
4,6,86,1,4.1454415
5,6,74,4,11.579601
6,6,81,0,3.5432072
7,6,57,5,16.766912
8,6,61,16,29.876095
9,6,77,3,9.309779
10,6,45,18,35.013275
11,6,41,10,27.655293
12,6,87,1,3.937068
13,6,44,5,19.476366
14,6,94,4,7.4110165
15,6,86,13,21.976255
16,6,96,15,22.06985
17,6,98,10,16.44359
18,6,74,16,27.354261
19,6,52,4,16.16459
20,6,68,3,11.185655
21,6,65,4,13.455221
22,6,93,18,25.702045
23,6,90,16,24.250515
24,6,73,4,11.7878895
25,6,65,3,11.810863
26,6,51,18,33.849457
27,6,94,3,5.766828
28,6,50,2,13.292791
29,6,63,17,30.504803
30,6,92,18,25.895987
1,7,66,1,8.31377
2,7,44,9,26.053719
3,7,65,19,32.15036
4,7,52,0,9.587241
5,7,59,13,27.21378
6,7,86,17,26.043129
7,7,78,4,10.745765
8,7,40,17,34.966476
9,7,44,7,22.765
10,7,61,14,27.842487
11,7,96,6,10.283072
12,7,48,14,30.364407
13,7,52,8,22.74203
14,7,94,8,13.988538
15,7,48,11,27.314207
16,7,45,10,26.879356
17,7,70,13,25.079998
18,7,55,8,22.116821
19,7,98,8,13.154872
20,7,55,13,27.989716
21,7,78,17,27.595
22,7,77,9,19.17602
23,7,76,10,20.865896
24,7,78,15,25.561478
25,7,53,11,26.344246
26,7,87,11,19.748875
27,7,78,18,28.611933
28,7,82,2,6.6235514
29,7,92,0,1.2504132
30,7,42,10,27.461351
31,7,66,10,22.805735
1,8,93,2,4.3309283
2,8,83,2,6.4149218
3,8,53,18,33.46132
4,8,44,5,19.476366
5,8,40,12,29.882841
6,8,43,2,14.751579
7,8,64,1,8.730517
8,8,57,0,8.545201
9,8,58,5,16.558537
10,8,98,7,11.510427
11,8,49,10,26.10342
12,8,88,16,24.63857
13,8,42,12,29.49479
14,8,95,14,21.247116
15,8,98,19,25.748844
16,8,43,17,34.3844
17,8,60,3,12.852901
18,8,49,13,29.15362
19,8,95,2,3.91401
20,8,68,2,9.54121
21,8,95,2,3.91401
22,8,50,12,27.942917
23,8,65,8,20.032656
24,8,64,3,12.019406
25,8,51,16,31.815935
26,8,51,1,11.439888
27,8,80,17,27.207033
28,8,98,0,0.0
29,8,84,5,11.139626
30,8,98,8,13.154872
31,8,76,9,19.384394
1,9,47,12,28.524826
2,9,84,18,27.447857
3,9,61,12,25.809135
4,9,69,14,26.290787
5,9,70,15,27.113352
6,9,40,6,21.954477
7,9,94,9,15.632982
8,9,43,6,21.3291
9,9,72,7,16.92934
10,9,91,16,24.056662
11,9,83,9,17.92552
12,9,68,8,19.407452
13,9,76,13,23.916094
14,9,67,11,23.628471
15,9,48,4,16.998257
16,9,89,14,22.411106
17,9,45,17,33.996513
18,9,69,9,20.843351
19,9,50,5,18.225868
20,9,68,14,26.484728
21,9,57,11,25.56831
22,9,51,17,32.832695
23,9,68,12,24.45129
24,9,60,3,12.852901
25,9,70,15,27.113352
26,9,74,11,22.27054
27,9,50,15,30.993114
28,9,41,15,32.73893
29,9,52,11,26.53827
30,9,81,19,29.0467
1,10,87,8,15.447326
2,10,41,12,29.688816
3,10,60,12,26.003077
4,10,47,18,34.62531
5,10,88,19,27.688768
6,10,91,4,8.036394
7,10,58,5,16.558537
8,10,56,17,31.862734
9,10,62,11,24.598433
10,10,71,9,20.426517
11,10,92,10,17.694176
12,10,54,2,12.459041
13,10,54,13,28.18374
14,10,62,18,31.715506
15,10,74,10,21.253862
16,10,42,5,19.8932
17,10,46,15,31.769136
18,10,64,19,32.3443
19,10,61,2,11.000169
20,10,49,12,28.136944
21,10,55,15,30.023151
22,10,85,19,28.270678
23,10,66,8,19.824284
24,10,78,13,23.528126
25,10,57,1,10.189475
26,10,69,5,14.265999
27,10,80,11,21.10672
28,10,59,7,19.63871
29,10,40,12,29.882841
30,10,52,18,33.65543
31,10,93,16,23.668522
1,11,69,9,20.843351
2,11,60,16,30.069952
3,11,81,11,20.912695
4,11,99,19,25.554903
5,11,56,8,21.908363
6,11,46,2,14.126457
7,11,79,14,24.35086
8,11,85,7,14.21997
9,11,61,7,19.221878
10,11,84,6,12.783984
11,11,78,8,17.3232
12,11,48,16,32.397842
13,11,85,1,4.3538156
14,11,68,1,7.8970227
15,11,40,4,18.665674
16,11,55,4,15.539385
17,11,76,15,25.949532
18,11,70,0,5.83566
19,11,73,0,5.2104535
20,11,84,18,27.447857
21,11,40,1,13.732512
22,11,90,6,11.533656
23,11,75,4,11.370971
24,11,90,18,26.284039
25,11,99,19,25.554903
26,11,70,5,14.057455
27,11,71,9,20.426517
28,11,83,12,21.541489
29,11,89,12,20.377583
30,11,58,8,21.491615
1,12,67,6,16.327106
2,12,58,10,24.357607
3,12,88,3,7.0172415
4,12,50,8,23.158945
5,12,83,1,4.7706485
6,12,53,19,34.47825
7,12,58,5,16.558537
8,12,97,11,17.80895
9,12,74,12,23.287216
10,12,76,0,4.5852466
11,12,72,0,5.4189124
12,12,62,1,9.14735
13,12,80,5,11.973291
14,12,68,0,6.252493
15,12,83,12,21.541489
16,12,80,13,23.140158
17,12,71,6,15.493355
18,12,96,15,22.06985
19,12,97,11,17.80895
20,12,61,11,24.79246
21,12,46,11,27.702091
22,12,91,11,18.97294
23,12,62,0,7.5029917
24,12,45,17,33.996513
25,12,74,12,23.287216
26,12,93,9,15.841442
27,12,98,8,13.154872
28,12,73,13,24.498003
29,12,77,7,15.887301
30,12,68,15,27.501488
31,12,95,2,3.91401
