Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ºC)
20,4,81,0,17.55708
21,4,89,7,10.006945
22,4,67,6,19.913786
23,4,40,3,34.35415
24,4,58,16,17.990246
25,4,62,11,19.16201
26,4,98,7,6.306267
27,4,48,0,32.997185
28,4,79,2,17.119337
29,4,53,1,29.71101
30,4,68,2,21.952984
1,5,53,17,19.52527
2,5,49,10,25.24776
3,5,69,4,20.209335
4,5,72,13,13.801684
5,5,75,3,18.241144
6,5,66,9,18.616116
7,5,91,2,12.0922575
8,5,60,11,20.015718
9,5,66,15,15.205498
10,5,49,16,21.806763
11,5,95,8,6.962148
12,5,85,15,7.5490375
13,5,91,3,11.492375
14,5,82,6,13.528462
15,5,70,16,12.991166
16,5,78,8,14.074541
17,5,62,7,21.45906
18,5,90,17,4.5384626
19,5,72,4,18.93948
20,5,52,14,21.688362
21,5,85,14,8.017341
22,5,98,15,2.2966816
23,5,90,2,12.510784
24,5,59,7,22.728546
25,5,65,5,21.331322
26,5,81,5,14.537171
27,5,49,12,24.106192
28,5,90,10,7.946702
29,5,40,14,26.773453
30,5,99,1,9.409807
31,5,63,0,25.75047
1,6,92,10,7.132706
2,6,66,16,14.65777
3,6,61,11,19.589323
4,6,84,15,7.9430413
5,6,88,13,7.303997
6,6,69,16,13.408412
7,6,48,19,20.512936
8,6,76,5,16.671713
9,6,84,10,10.445968
10,6,47,18,21.498222
11,6,60,14,18.27262
12,6,68,0,23.419748
13,6,72,17,11.732474
14,6,55,2,27.953453
15,6,75,3,18.241144
16,6,81,15,9.124689
17,6,63,8,20.465172
18,6,75,14,12.004051
19,6,47,9,26.665298
20,6,86,7,11.2557535
21,6,75,11,13.647413
22,6,90,4,11.310472
23,6,41,18,24.060074
24,6,73,11,14.480441
25,6,74,14,12.420565
26,6,54,4,26.892038
27,6,85,1,15.198176
28,6,78,1,18.188805
29,6,45,17,22.933327
30,6,92,0,12.90607
1,7,54,16,19.671858
2,7,53,15,20.679834
3,7,72,6,17.79791
4,7,44,1,34.099407
5,7,56,3,26.723492
6,7,84,19,5.9702744
7,7,58,5,24.383806
8,7,76,8,14.927882
9,7,97,3,8.98396
10,7,71,14,13.670837
11,7,86,11,9.065396
12,7,61,5,23.053928
13,7,95,17,2.5131736
14,7,72,10,15.4734125
15,7,68,18,12.839274
16,7,64,15,16.038708
17,7,81,14,9.59226
18,7,73,13,13.385536
19,7,92,8,8.209127
20,7,75,9,14.773977
21,7,99,15,1.8920631
22,7,77,2,17.965542
23,7,79,13,10.885905
24,7,72,9,16.054628
25,7,92,0,12.90607
26,7,56,13,20.561615
27,7,81,9,12.243419
28,7,77,6,15.663186
29,7,50,13,23.112122
30,7,57,1,27.784176
31,7,64,13,17.14569
1,8,97,19,0.78160375
2,8,85,10,10.029453
3,8,77,2,17.965542
4,8,73,3,19.087528
5,8,95,3,9.820465
6,8,95,7,7.5296392
7,8,44,15,24.509163
8,8,54,16,19.671858
9,8,50,0,32.021782
10,8,86,14,7.6237025
11,8,68,5,20.061653
12,8,88,19,4.349238
13,8,82,13,9.666742
14,8,80,15,9.5179615
15,8,52,2,29.351591
16,8,89,16,5.4432273
17,8,98,8,5.7398744
18,8,42,3,33.378563
19,8,94,6,8.5041275
20,8,44,11,26.793034
21,8,95,13,4.511927
22,8,81,3,15.699237
23,8,87,11,8.648882
24,8,47,19,20.929451
25,8,85,15,7.5490375
26,8,77,1,18.631853
27,8,85,11,9.4815445
28,8,83,15,8.337229
29,8,74,11,14.063745
30,8,76,17,10.157006
31,8,73,13,13.385536
1,9,59,5,23.94039
2,9,99,6,6.4656625
3,9,46,9,27.088034
4,9,89,5,11.128567
5,9,72,14,13.254142
6,9,78,6,15.236608
7,9,48,7,27.48094
8,9,67,18,13.23273
9,9,93,5,9.47825
10,9,50,16,21.379635
11,9,59,13,19.280964
12,9,68,19,12.371154
13,9,72,6,17.79791
14,9,78,13,11.302237
15,9,66,12,16.873383
16,9,42,18,23.632946
17,9,43,3,32.891045
18,9,97,16,2.2020695
19,9,94,7,7.937186
20,9,42,8,29.472923
21,9,99,19,0.0
22,9,74,2,19.294323
23,9,88,6,10.970452
24,9,89,11,7.8462334
25,9,90,1,13.110849
26,9,67,19,12.765342
27,9,54,11,22.561283
28,9,40,6,31.891851
29,9,43,16,24.361845
30,9,95,4,9.2297325
1,10,59,16,17.573915
2,10,77,8,14.501304
3,10,88,5,11.548374
4,10,92,6,9.318855
5,10,88,15,6.348541
6,10,52,14,21.688362
7,10,54,4,26.892038
8,10,90,12,6.9841084
9,10,56,2,27.486797
10,10,63,9,19.894022
11,10,94,10,6.345247
12,10,82,14,9.198072
13,10,47,13,24.381609
14,10,60,18,16.062132
15,10,52,9,24.549423
16,10,70,15,13.539625
17,10,83,16,7.8685594
18,10,58,0,28.120716
19,10,61,19,15.127904
20,10,42,8,29.472923
21,10,98,13,3.2966075
22,10,74,15,11.881073
23,10,60,1,26.385489
24,10,61,3,24.392956
25,10,59,10,21.015827
26,10,41,6,31.425196
27,10,46,6,29.094658
28,10,69,12,15.598952
29,10,83,16,7.8685594
30,10,72,0,21.555134
31,10,72,9,16.054628
1,11,81,8,12.794255
2,11,58,0,28.120716
3,11,82,8,12.374813
4,11,53,9,24.126503
5,11,48,17,21.652676
6,11,72,15,12.705865
7,11,54,6,25.489508
8,11,43,6,30.493711
9,11,63,9,19.894022
10,11,98,2,9.1799555
11,11,69,6,19.067583
12,11,62,1,25.454004
13,11,83,9,11.410574
14,11,76,18,9.688703
15,11,84,18,6.4698715
16,11,53,13,21.842817
17,11,64,2,23.757936
18,11,86,6,11.820682
19,11,49,16,21.806763
20,11,60,13,18.853653
21,11,62,10,19.743044
22,11,69,2,21.509567
23,11,64,0,25.28491
24,11,47,3,30.940786
25,11,93,12,5.8028274
26,11,71,2,20.623652
27,11,89,11,7.8462334
28,11,64,5,21.754608
29,11,90,5,10.709857
30,11,42,8,29.472923
1,12,96,4,8.821637
2,12,82,14,9.198072
3,12,51,4,28.291275
4,12,80,6,14.382534
5,12,83,14,8.804983
6,12,86,3,13.582813
7,12,96,3,9.401755
8,12,64,12,17.726723
9,12,52,3,28.588287
10,12,83,10,10.862481
11,12,63,12,18.154034
12,12,77,11,12.81402
13,12,66,13,16.30095
14,12,77,8,14.501304
15,12,93,7,8.345282
16,12,65,4,21.948225
17,12,77,15,10.699792
18,12,75,11,13.647413
19,12,57,9,22.432999
20,12,78,7,14.655392
21,12,57,6,24.159811
22,12,95,9,6.4197288
23,12,74,1,19.961185
24,12,74,5,17.522491
25,12,50,6,27.26152
26,12,88,17,5.348981
27,12,90,17,4.5384626
28,12,93,3,10.65642
29,12,58,2,26.554949
30,12,59,4,24.607252
31,12,46,6,29.094658
